,date,boundsId,weight,quantity
149,2018-08-20 02:00:00,116,804.0,
150,2018-05-13 02:00:00,116,0.0,
151,2018-05-13 02:00:00,116,8.0,
152,2018-04-18 02:00:00,116,80.0,
153,2018-05-04 02:00:00,116,,
154,2018-11-10 01:00:00,116,3000.0,
155,2019-01-27 01:00:00,116,10.0,
156,2018-05-03 02:00:00,117,3600.0,
157,2018-05-13 02:00:00,117,0.0,
158,2018-05-05 02:00:00,117,,
159,2019-08-30 02:00:00,117,8.0,
160,2020-03-23 01:00:00,118,100.0,
161,2020-04-21 02:00:00,118,50.0,
162,2020-04-22 02:00:00,118,150.0,
163,2017-05-06 02:00:00,118,2.0,
164,2017-11-27 01:00:00,118,,
165,2020-03-26 01:00:00,118,300.0,
166,2018-05-13 02:00:00,118,165.0,
167,2018-05-13 02:00:00,118,38.0,
168,2018-06-04 02:00:00,118,,
169,2018-08-31 02:00:00,118,1580.0,
170,2019-08-31 02:00:00,118,,
171,2019-08-31 02:00:00,118,840.0,
172,2019-06-04 02:00:00,118,100.0,
173,2019-04-09 02:00:00,118,200.0,
174,2019-11-02 01:00:00,118,16.0,
175,2020-05-28 02:00:00,119,,
176,2016-05-07 02:00:00,119,0.0,
177,2017-03-13 01:00:00,119,200.0,
178,2017-05-12 02:00:00,119,160.0,
179,2017-05-02 02:00:00,119,300.0,
180,2017-06-22 02:00:00,119,,
181,2018-05-03 02:00:00,119,,
182,2018-05-05 02:00:00,119,,
183,2018-06-22 02:00:00,119,100.0,
184,2018-05-03 02:00:00,119,75.0,
185,2019-05-15 02:00:00,119,20.0,
186,2015-05-09 02:00:00,119,80.0,
187,2018-05-03 02:00:00,119,,
188,2019-06-14 02:00:00,119,,
189,2020-06-30 02:00:00,120,100.0,
190,2020-05-29 02:00:00,120,40.0,
191,2018-05-08 02:00:00,120,1760.0,
192,2018-07-05 02:00:00,120,550.0,
193,2019-06-18 02:00:00,120,70.0,
194,2018-05-13 02:00:00,121,70.0,
195,2018-05-03 02:00:00,121,,
196,2020-11-11 21:15:00,122,,
197,2016-04-22 02:00:00,122,1540.0,
198,2018-05-13 02:00:00,122,120.0,
199,2018-05-13 02:00:00,122,40.0,
200,2018-11-18 01:00:00,122,,
201,2019-11-30 01:00:00,122,960.0,
202,2019-09-14 02:00:00,125,31.0,
203,2019-05-03 02:00:00,128,50.0,
204,2017-03-19 01:00:00,128,150.0,
205,2017-03-08 01:00:00,128,,
206,2017-05-06 02:00:00,128,100.0,
207,2017-05-26 02:00:00,128,,
208,2017-09-16 02:00:00,128,,
209,2017-12-03 01:00:00,128,,
210,2018-04-30 02:00:00,128,462.0,
211,2019-08-31 02:00:00,128,1850.0,
212,2018-05-16 02:00:00,128,,
213,2020-02-17 01:00:00,128,20.0,
214,2019-09-17 02:00:00,128,500.0,
215,2019-09-20 02:00:00,128,150.0,
216,2015-05-10 02:00:00,128,500.0,
217,2018-05-13 02:00:00,129,0.0,
218,2020-11-11 21:15:00,130,580.0,
219,2019-05-01 02:00:00,130,88.0,
220,2017-02-19 01:00:00,132,200.0,
221,2017-09-20 02:00:00,132,,
222,2018-03-17 01:00:00,132,30.0,
223,2018-04-07 02:00:00,132,,
224,2018-09-01 02:00:00,132,900.0,
225,2019-04-09 02:00:00,132,900.0,
226,2019-05-27 02:00:00,132,450.0,
227,2019-09-14 02:00:00,132,400.0,
228,2018-05-13 02:00:00,132,4.0,
229,2020-02-29 01:00:00,132,1200.0,
230,2019-04-11 02:00:00,132,160.0,
231,2018-05-05 02:00:00,133,600.0,
232,2017-06-18 02:00:00,133,,
233,2019-10-31 01:00:00,133,300.0,
234,2018-05-07 02:00:00,133,1420.0,
235,2018-05-13 02:00:00,134,0.0,
236,2018-04-18 02:00:00,134,7.0,
237,2019-04-11 02:00:00,135,300.0,
238,2019-04-11 02:00:00,135,,
239,2020-05-04 02:00:00,136,4300.0,
240,2017-05-06 02:00:00,136,150.0,
241,2018-04-30 02:00:00,136,100.0,
242,2018-04-27 02:00:00,136,610.0,
243,2018-05-13 02:00:00,136,8.0,
244,2020-04-23 02:00:00,137,100.0,
245,2018-05-02 02:00:00,137,550.0,
246,2017-05-20 02:00:00,137,900.0,
247,2017-07-31 02:00:00,137,,
248,2018-10-28 02:00:00,137,600.0,
249,2018-10-31 01:00:00,137,980.0,
250,2020-06-06 02:00:00,138,2000.0,
251,2017-07-06 02:00:00,138,250.0,
252,2019-09-17 02:00:00,138,,
253,2018-11-03 01:00:00,138,2220.0,
254,2019-09-14 02:00:00,143,,
255,2017-02-15 01:00:00,145,150.0,
256,2017-05-06 02:00:00,145,400.0,
257,2018-04-13 02:00:00,145,855.0,
258,2019-09-28 02:00:00,145,1600.0,
259,2020-06-30 02:00:00,146,670.0,
260,2016-05-07 02:00:00,146,0.0,
261,2017-11-25 01:00:00,146,,
262,2018-05-05 02:00:00,146,5000.0,
263,2019-05-03 02:00:00,146,500.0,
264,2019-06-30 02:00:00,146,3300.0,
265,2020-05-31 02:00:00,146,660.0,
266,2020-03-18 01:00:00,146,800.0,
267,2018-04-29 02:00:00,146,40.0,
268,2019-05-04 02:00:00,146,,
269,2017-02-19 01:00:00,147,150.0,
270,2017-05-10 02:00:00,147,,
271,2017-10-01 02:00:00,147,,
272,2017-10-01 02:00:00,147,,
273,2017-11-26 01:00:00,147,,
274,2018-06-10 02:00:00,147,,
275,2019-03-21 01:00:00,147,759.0,
276,2019-04-10 02:00:00,147,1000.0,
277,2019-05-02 02:00:00,147,700.0,
278,2019-05-15 02:00:00,147,2200.0,
279,2019-08-26 02:00:00,147,300.0,
280,2019-09-28 02:00:00,147,1200.0,
281,2019-11-08 01:00:00,147,1100.0,
282,2020-05-31 02:00:00,147,800.0,
283,2018-05-13 02:00:00,147,0.0,
284,2018-05-13 02:00:00,147,3.0,
285,2020-02-10 01:00:00,147,90.0,
286,2017-12-02 01:00:00,148,,
287,2017-12-29 01:00:00,148,,
288,2018-04-15 02:00:00,148,3150.0,
289,2019-04-25 02:00:00,148,400.0,
290,2019-07-12 02:00:00,148,1500.0,
291,2018-05-13 02:00:00,148,0.0,
292,2018-05-13 02:00:00,148,15.0,
293,2018-05-13 02:00:00,148,,
294,2018-05-03 02:00:00,148,37.0,
295,2020-03-31 02:00:00,149,,
296,2019-08-29 02:00:00,149,8000.0,
297,2017-10-06 02:00:00,150,400.0,
298,2017-05-05 02:00:00,150,2760.0,
299,2017-06-24 02:00:00,150,,
300,2017-10-31 01:00:00,150,,
301,2017-10-07 02:00:00,151,350.0,
302,2018-05-13 02:00:00,151,0.0,
303,2018-05-13 02:00:00,151,0.0,
304,2019-10-31 01:00:00,153,2300.0,
305,2018-08-26 02:00:00,155,880.0,
306,2017-12-31 01:00:00,155,,
307,2018-05-04 02:00:00,155,100.0,
308,2020-05-03 02:00:00,156,40.0,
309,2020-04-25 02:00:00,156,60.0,
310,2018-04-15 02:00:00,156,45.0,
311,2018-05-13 02:00:00,156,60.0,
312,2019-10-26 02:00:00,156,50.0,
313,2018-07-01 02:00:00,156,500.0,
314,2019-04-13 02:00:00,156,20.0,
315,2019-04-14 02:00:00,156,60.0,
316,2019-04-14 02:00:00,156,75.0,
317,2019-08-18 02:00:00,156,225.0,
318,2019-10-14 02:00:00,156,30.0,
319,2018-05-05 02:00:00,156,,
320,2017-05-05 02:00:00,157,,
321,2018-01-27 01:00:00,157,80.0,
322,2019-04-02 02:00:00,157,150.0,
323,2019-03-30 01:00:00,157,100.0,
324,2020-06-05 02:00:00,159,400.0,
325,2018-06-08 02:00:00,159,1520.0,
326,2019-10-13 02:00:00,159,15.0,
327,2019-06-14 02:00:00,159,400.0,
328,2018-05-05 02:00:00,163,,
329,2020-06-04 02:00:00,164,320.0,
330,2020-11-11 21:15:00,164,4200.0,
331,2017-10-05 02:00:00,164,,
332,2017-11-04 01:00:00,164,,
333,2017-11-25 01:00:00,164,,
334,2017-12-17 01:00:00,164,,
335,2019-04-27 02:00:00,164,1550.0,
